State,"##","Null","Integer","String","Boolean","Floating","Character","Comment","Macro","WhiteSpace","EndLine","{","}","[","]","(",")","+","-","*","/","%","++","--","==","!=",">","<",">=","<=","&&","||","!","&","|","~","^","<<",">>","=","+=","-=","*=","/=","%=","<<=",">>=","&=","|=","^=",",",";","auto","break","case","char","const","continue","default","do","double","else","enum","extern","float","for","goto","if","int","long","register","return","short","signed","sizeof","static","struct","switch","typedef","union","unsigned","void","volatile","while","Identifier","Word","emptypro","A","P","M","N","add_expression","argument_list","assign_sentence","declare","declare_list","expression","factor","function_declare","if_sentence","inner_declare","inner_var_declare","item","param","parameter","parameter_list","return_sentence","sentence","sentence_block","sentence_list","var_declare","while_sentence"
57,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","r16","*","*","*","r16","*","*","*","*","*","*","*","*","*","*","*","r16","r16","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
58,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","r45","r45","r45","r45","r45","*","*","*","r45","r45","r45","r45","r45","r45","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
59,"*","*","s58","*","*","*","*","*","*","*","*","*","*","*","*","s59","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","s60","*","*","*","*","*","*",61,"*","*","*","*",81,63,"*","*","*","*",64,"*","*","*","*","*","*","*","*","*"
60,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","s82","r48","r48","r48","r48","r48","*","*","*","r48","r48","r48","r48","r48","r48","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
61,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","r32","*","*","*","*","*","*","*","s83","s84","s85","s86","s87","s88","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
62,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","s89","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
63,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","r42","r42","r42","s90","s91","*","*","*","r42","r42","r42","r42","r42","r42","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
64,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","r39","s92","s93","*","*","*","*","*","r39","r39","r39","r39","r39","r39","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
65,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","s94","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
66,"*","*","s95","*","*","*","*","*","*","*","*","*","*","*","*","s96","r49","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","s97","*","*","*","*","*","*",98,99,"*","*","*",100,101,"*","*","*","*",102,"*","*","*","*","*","*","*","*","*"
67,"*","*","s103","*","*","*","*","*","*","*","*","*","*","*","*","s104","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","s105","*","*","*","*","*","*",106,"*","*","*","*","*",107,"*","*","*","*",108,"*","*","*","*","*","*","*","*","*"
68,"*","*","s103","*","*","*","*","*","*","*","*","*","*","*","*","s104","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","s105","*","*","*","*","*","*",109,"*","*","*","*","*",107,"*","*","*","*",108,"*","*","*","*","*","*","*","*","*"
69,"*","*","s103","*","*","*","*","*","*","*","*","*","*","*","*","s104","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","s105","*","*","*","*","*","*",110,"*","*","*","*","*",107,"*","*","*","*",108,"*","*","*","*","*","*","*","*","*"
70,"*","*","s103","*","*","*","*","*","*","*","*","*","*","*","*","s104","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","s105","*","*","*","*","*","*",111,"*","*","*","*","*",107,"*","*","*","*",108,"*","*","*","*","*","*","*","*","*"
71,"*","*","s103","*","*","*","*","*","*","*","*","*","*","*","*","s104","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","s105","*","*","*","*","*","*",112,"*","*","*","*","*",107,"*","*","*","*",108,"*","*","*","*","*","*","*","*","*"
72,"*","*","s103","*","*","*","*","*","*","*","*","*","*","*","*","s104","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","s105","*","*","*","*","*","*",113,"*","*","*","*","*",107,"*","*","*","*",108,"*","*","*","*","*","*","*","*","*"
73,"*","*","*","*","*","*","*","*","*","*","*","*","r26","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","r26","*","*","*","r26","*","*","*","*","*","*","*","*","*","*","*","r26","r26","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
74,"*","*","s45","*","*","*","*","*","*","*","*","*","*","*","*","s46","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","s48","*","*","*","*","*","*","*","*","*","*","*","*",51,"*","*","*","*",114,"*","*","*","*","*","*","*","*","*"
75,"*","*","s45","*","*","*","*","*","*","*","*","*","*","*","*","s46","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","s48","*","*","*","*","*","*","*","*","*","*","*","*",51,"*","*","*","*",115,"*","*","*","*","*","*","*","*","*"
76,"*","*","s45","*","*","*","*","*","*","*","*","*","*","*","*","s46","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","s48","*","*","*","*","*","*",116,"*","*","*","*","*",51,"*","*","*","*",52,"*","*","*","*","*","*","*","*","*"
77,"*","*","s45","*","*","*","*","*","*","*","*","*","*","*","*","s46","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","s48","*","*","*","*","*","*",117,"*","*","*","*","*",51,"*","*","*","*",52,"*","*","*","*","*","*","*","*","*"
78,"*","*","s58","*","*","*","*","*","*","*","*","*","*","*","*","s59","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","s60","*","*","*","*","*","*",61,"*","*","*","*",118,63,"*","*","*","*",64,"*","*","*","*","*","*","*","*","*"
79,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","s119","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
80,"*","*","*","*","*","*","*","*","*","*","*","*","r18","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
81,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","s120","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
82,"*","*","s95","*","*","*","*","*","*","*","*","*","*","*","*","s96","r49","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","s97","*","*","*","*","*","*",98,121,"*","*","*",100,101,"*","*","*","*",102,"*","*","*","*","*","*","*","*","*"
83,"*","*","s122","*","*","*","*","*","*","*","*","*","*","*","*","s123","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","s124","*","*","*","*","*","*",125,"*","*","*","*","*",126,"*","*","*","*",127,"*","*","*","*","*","*","*","*","*"
84,"*","*","s122","*","*","*","*","*","*","*","*","*","*","*","*","s123","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","s124","*","*","*","*","*","*",128,"*","*","*","*","*",126,"*","*","*","*",127,"*","*","*","*","*","*","*","*","*"
85,"*","*","s122","*","*","*","*","*","*","*","*","*","*","*","*","s123","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","s124","*","*","*","*","*","*",129,"*","*","*","*","*",126,"*","*","*","*",127,"*","*","*","*","*","*","*","*","*"
86,"*","*","s122","*","*","*","*","*","*","*","*","*","*","*","*","s123","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","s124","*","*","*","*","*","*",130,"*","*","*","*","*",126,"*","*","*","*",127,"*","*","*","*","*","*","*","*","*"
87,"*","*","s122","*","*","*","*","*","*","*","*","*","*","*","*","s123","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","s124","*","*","*","*","*","*",131,"*","*","*","*","*",126,"*","*","*","*",127,"*","*","*","*","*","*","*","*","*"
88,"*","*","s122","*","*","*","*","*","*","*","*","*","*","*","*","s123","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","s124","*","*","*","*","*","*",132,"*","*","*","*","*",126,"*","*","*","*",127,"*","*","*","*","*","*","*","*","*"
89,"*","*","*","*","*","*","*","*","*","*","*","r6","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*",133,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
90,"*","*","s58","*","*","*","*","*","*","*","*","*","*","*","*","s59","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","s60","*","*","*","*","*","*","*","*","*","*","*","*",63,"*","*","*","*",134,"*","*","*","*","*","*","*","*","*"
91,"*","*","s58","*","*","*","*","*","*","*","*","*","*","*","*","s59","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","s60","*","*","*","*","*","*","*","*","*","*","*","*",63,"*","*","*","*",135,"*","*","*","*","*","*","*","*","*"
92,"*","*","s58","*","*","*","*","*","*","*","*","*","*","*","*","s59","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","s60","*","*","*","*","*","*",136,"*","*","*","*","*",63,"*","*","*","*",64,"*","*","*","*","*","*","*","*","*"
93,"*","*","s58","*","*","*","*","*","*","*","*","*","*","*","*","s59","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","s60","*","*","*","*","*","*",137,"*","*","*","*","*",63,"*","*","*","*",64,"*","*","*","*","*","*","*","*","*"
94,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","r46","r46","r46","r46","*","*","*","r46","r46","r46","r46","r46","r46","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","r46","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
95,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","r45","r45","r45","r45","r45","*","*","*","r45","r45","r45","r45","r45","r45","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","r45","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
96,"*","*","s58","*","*","*","*","*","*","*","*","*","*","*","*","s59","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","s60","*","*","*","*","*","*",61,"*","*","*","*",138,63,"*","*","*","*",64,"*","*","*","*","*","*","*","*","*"
97,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","s139","r48","r48","r48","r48","r48","*","*","*","r48","r48","r48","r48","r48","r48","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","r48","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
98,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","r32","*","*","*","*","*","*","*","s140","s141","s142","s143","s144","s145","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","r32","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
99,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","s146","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
100,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","r50","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","s147","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
101,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","r42","r42","r42","s148","s149","*","*","*","r42","r42","r42","r42","r42","r42","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","r42","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
102,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","r39","s150","s151","*","*","*","*","*","r39","r39","r39","r39","r39","r39","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","r39","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
103,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","r45","r45","r45","r45","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","r45","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
104,"*","*","s58","*","*","*","*","*","*","*","*","*","*","*","*","s59","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","s60","*","*","*","*","*","*",61,"*","*","*","*",152,63,"*","*","*","*",64,"*","*","*","*","*","*","*","*","*"
105,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","s153","*","r48","r48","r48","r48","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","r48","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
106,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","r35","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
107,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","r42","r42","s154","s155","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","r42","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
108,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","s156","s157","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","r39","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
109,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","r38","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
110,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","r33","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
111,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","r34","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
112,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","r36","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
113,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","r37","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
114,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","r43","r43","*","*","*","*","*","r43","r43","r43","r43","r43","r43","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","r43","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
